code,ballot,party,votes
KZ,P,GKSA,1730
KZ,P,ID,6853
KZ,P,IFP,780027
KZ,P,MF,71507
KZ,P,NADECO,6881
KZ,P,PAC,2578
KZ,P,SADECO,3883
KZ,P,UCDP,1798
KZ,P,UDM,7953
KZ,P,VF+,5760
KZ,P,WF,1816
LP,N,ACDP,9853
LP,N,AFD,902
LP,N,AJ,486
LP,N,ANC,1319659
LP,N,AP,331
LP,N,APC,4754
LP,N,AZAPO,5697
LP,N,CDA,363
LP,N,COPE,111651
LP,N,DA,57418
LP,N,GKSA,1416
LP,N,ID,1423
LP,N,IFP,927
LP,N,KISS,256
LP,N,MDP,2260
LP,N,MF,328
LP,N,NADECO,556
LP,N,NVP,4313
LP,N,PAC,7352
LP,N,PAM,283
LP,N,SADECO,426
LP,N,UCDP,1080
LP,N,UDM,5109
LP,N,UIF,1597
LP,N,VF+,8374
LP,N,WF,822
LP,P,ACDP,10246
LP,P,AFD,1041
LP,P,ANC,1265631
LP,P,APC,4455
LP,P,AZAPO,5640
LP,P,BCP,1432
LP,P,COPE,112325
LP,P,DA,51856
LP,P,ID,1333
LP,P,IFP,936
LP,P,NVP,6497
LP,P,PAC,7934
LP,P,UCDP,1320
LP,P,UDM,5193
LP,P,UIF,1769
LP,P,VF+,9035
LP,P,WF,977
LP,P,XP,3452
MP,N,ACDP,6880
MP,N,AFD,315
MP,N,AJ,756
MP,N,ANC,1152698
MP,N,AP,204
MP,N,APC,4421
MP,N,AZAPO,2698
MP,N,CDA,558
MP,N,COPE,38802
MP,N,DA,102039
MP,N,GKSA,478
MP,N,ID,1619
MP,N,IFP,7286
MP,N,KISS,188
MP,N,MDP,2915
MP,N,MF,286
MP,N,NADECO,728
MP,N,NVP,371
MP,N,PAC,3509
MP,N,PAM,216
MP,N,SADECO,535
MP,N,UCDP,849
MP,N,UDM,3159
MP,N,UIF,384
MP,N,VF+,11151
MP,N,WF,208
MP,P,ACDP,6565
MP,P,ANC,1110190
MP,P,APC,4834
MP,P,AZAPO,2928
MP,P,COPE,37789
MP,P,CP,2435
MP,P,DA,97204
MP,P,ID,1527
MP,P,IFP,6540
MP,P,NADECO,1374
MP,P,PAC,4097
MP,P,SPP,6423
MP,P,UCDP,913
MP,P,UDM,3366
MP,P,VF+,11590
NC,N,ACDP,4088
NC,N,AFD,98
NC,N,AJ,266
NC,N,ANC,253264
NC,N,AP,72
NC,N,APC,1244
NC,N,AZAPO,1759
NC,N,CDA,426
NC,N,COPE,66082
NC,N,DA,54215
NC,N,GKSA,227
NC,N,ID,19584
NC,N,IFP,611
NC,N,KISS,95
NC,N,MDP,727
NC,N,MF,179
NC,N,NADECO,220
NC,N,NVP,163
NC,N,PAC,614
NC,N,PAM,100
NC,N,SADECO,135
NC,N,UCDP,4559
NC,N,UDM,503
NC,N,UIF,236
NC,N,VF+,4957
NC,N,WF,78
NC,P,ACDP,4041
NC,P,ANC,245699
NC,P,APC,1364
NC,P,AZAPO,2439
NC,P,CDA,481
NC,P,COPE,67416
NC,P,DA,50817
NC,P,ID,19995
NC,P,IFP,757
NC,P,PAC,882
NC,P,UCDP,4889
NC,P,UDM,604
NC,P,VF+,5034
NW,N,ACDP,8239
NW,N,AFD,490
NW,N,AJ,689
NW,N,ANC,822166
NW,N,AP,243
NW,N,APC,3742
NW,N,AZAPO,2797
NW,N,CDA,481
NW,N,COPE,93898
NW,N,DA,96850
NW,N,GKSA,835
NW,N,ID,4891
NW,N,IFP,1674
NW,N,KISS,194
NW,N,MDP,4405
NW,N,MF,278
NW,N,NADECO,940
NW,N,NVP,463
NW,N,PAC,2727
NW,N,PAM,338
NW,N,SADECO,503
NW,N,UCDP,43855
NW,N,UDM,5768
NW,N,UIF,639
NW,N,VF+,15986
NW,N,WF,320
NW,P,ACA,1750
NW,P,ACDP,7366
NW,P,ANC,783794
NW,P,APC,3116
NW,P,AZAPO,2712
NW,P,COPE,89573
NW,P,DA,88728
NW,P,ID,4984
NW,P,IFP,1619
NW,P,MDP,4432
NW,P,NADECO,978
NW,P,PAC,2831
NW,P,SAPP,1832
NW,P,UCDP,56678
NW,P,UDM,5467
NW,P,VF+,19463
WC,N,ACDP,32849
WC,N,AFD,236
WC,N,AJ,9808
WC,N,ANC,666223
WC,N,AP,393
WC,N,APC,1926
WC,N,AZAPO,1394
WC,N,CDA,3590
WC,N,COPE,183763
WC,N,DA,989132
WC,N,GKSA,751
WC,N,ID,91001
WC,N,IFP,1316
WC,N,KISS,692
WC,N,MDP,1201
WC,N,MF,432
WC,N,NADECO,701
WC,N,NVP,431
WC,N,PAC,4877
WC,N,PAM,623
WC,N,SADECO,214
WC,N,UCDP,1348
WC,N,UDM,15642
WC,N,UIF,1119
WC,N,VF+,17506
WC,N,WF,411
WC,P,ACDP,28995
WC,P,AJ,9039
WC,P,AMP,4333
WC,P,ANC,620918
WC,P,APC,1778
WC,P,AZAPO,1291
WC,P,CAPE,2552
WC,P,CDA,3987
WC,P,COPE,152356
WC,P,DA,1012568
WC,P,ID,92116
WC,P,IFP,1158
WC,P,NA,1996
WC,P,NADECO,463
WC,P,NP,3378
WC,P,PAC,4467
