code,name,layer,parent,regd
KZN223,Mooi Mpofana Municipality,3,DC22,14810
KZN224,Impendle Municipality,3,DC22,15142
KZN225,The Msunduzi Municipality,3,DC22,276008
KZN226,Mkhambathini Municipality,3,DC22,27560
KZN227,Richmond Municipality,3,DC22,28295
KZN232,Emnambithi/Ladysmith Municipality,3,DC23,97418
KZN233,Indaka Municipality,3,DC23,38463
KZN234,Umtshezi Municipality,3,DC23,32395
KZN235,Okhahlamba Municipality,3,DC23,50706
KZN236,Imbabazane Municipality,3,DC23,45372
KZN241,Endumeni Municipality,3,DC24,23930
KZN242,Nqutu Municipality,3,DC24,61462
KZN244,Msinga Municipality,3,DC24,68527
KZN245,Umvoti Municipality,3,DC24,41720
KZN252,Newcastle Municipality,3,DC25,141142
KZN253,Utrecht Municipality,3,DC25,11317
KZN254,Dannhauser Municipality,3,DC25,38887
KZN261,eDumbe Municipality,3,DC26,29727
KZN262,UPhongolo Municipality,3,DC26,49306
KZN263,Abaqulusi Municipality,3,DC26,80019
KZN265,Nongoma Municipality,3,DC26,75854
KZN266,Ulundi Municipality,3,DC26,79383
KZN271,Umhlabuyalingana Municipality,3,DC27,60234
KZN272,Jozini Municipality,3,DC27,72794
KZN273,The Big 5 False Bay Municipality,3,DC27,14718
KZN274,Hlabisa Municipality,3,DC27,75188
KZN275,Mtubatuba Municipality,3,DC27,20644
KZN281,Mbonambi Municipality,3,DC28,54773
KZN282,uMhlathuze Municipality,3,DC28,146959
KZN283,Ntambanana Municipality,3,DC28,31408
KZN284,uMlalazi Municipality,3,DC28,94137
KZN285,Mthonjaneni Municipality,3,DC28,20995
KZN286,Nkandla Municipality,3,DC28,47738
KZN291,eNdondakusuka Municipality,3,DC29,61069
KZN292,KwaDukuza Municipality,3,DC29,92545
KZN293,Ndwedwe Municipality,3,DC29,65536
KZN294,Maphumulo Municipality,3,DC29,41346
KZN431,Ingwe Municipality,3,DC43,41637
KZN432,Kwa Sani Municipality,3,DC43,6343
KZN433,Greater Kokstad Municipality,3,DC43,30419
KZN434,Ubuhlebezwe Municipality,3,DC43,43849
KZN435,Umzimkhulu Municipality,3,DC43,72485
KZNDMA22,UMgungundlovu DMA,3,DC22,69
KZNDMA23,Uthukela DMA,3,DC23,355
KZNDMA27,Umkhanyakude DMA,3,DC27,1943
KZNDMA43,Sisonke DMA,3,DC43,94
LIM331,Greater Giyani Municipality,3,DC33,107768
LIM332,Greater Letaba Municipality,3,DC33,95192
LIM333,Greater Tzaneen Municipality,3,DC33,171887
LIM334,Ba-Phalaborwa Municipality,3,DC33,58766
LIM335,Maruleng Municipality,3,DC33,44963
LIM341,Musina Municipality,3,DC34,19592
LIM342,Mutale Municipality,3,DC34,42267
LIM343,Thulamela Municipality,3,DC34,267399
LIM344,Makhado Municipality,3,DC34,225059
LIM351,Blouberg Municipality,3,DC35,66803
LIM352,Aganang Municipality,3,DC35,62596
LIM353,Molemole Municipality,3,DC35,43909
LIM354,Polokwane Municipality,3,DC35,234536
LIM355,Lepele-Nkumpi Municipality,3,DC35,95188
LIM361,Thabazimbi Municipality,3,DC36,37300
LIM362,Lephalale Municipality,3,DC36,40358
LIM364,Mookgopong Municipality,3,DC36,15171
LIM365,Modimolle Municipality,3,DC36,28672
LIM366,Bela-Bela Municipality,3,DC36,27104
LIM367,Mogalakwena Municipality,3,DC36,133110
LIM471,Greater Marble Hall Municipality,3,DC47,53228
LIM472,Elias Motsoaledi Municipality,3,DC47,105522
LIM473,Makhuduthamaga Municipality,3,DC47,115241
LIM474,Fetakgomo Municipality,3,DC47,40773
LIM475,Greater Tubatse Municipality,3,DC47,122724
LIMDMA33,Mopani DMA,3,DC33,945
MP301,Albert Luthuli Municipality,3,DC30,81994
MP302,Msukaligwa Municipality,3,DC30,62361
MP303,Mkhondo Municipality,3,DC30,62921
MP304,Seme Municipality,3,DC30,34221
MP305,Lekwa Municipality,3,DC30,49080
MP306,Dipaleseng Municipality,3,DC30,19317
MP307,Govan Mbeki Municipality,3,DC30,132881
MP311,Delmas Municipality,3,DC31,28353
MP312,Emalahleni Municipality,3,DC31,167288
MP313,Steve Tshwete Municipality,3,DC31,96548
MP314,Highlands Municipality,3,DC31,24367
MP315,Thembisile Municipality,3,DC31,134348
MP316,Dr JS Moroka Municipality,3,DC31,117328
MP321,Thaba Chweu Municipality,3,DC32,44639
MP322,Mbombela Municipality,3,DC32,250469
MP323,Umjindi Municipality,3,DC32,28619
MP324,Nkomazi Municipality,3,DC32,142860
MP325,Bushbuckridge Municipality,3,DC32,216782
MPDMA32,Ehlanzeni DMA,3,DC32,2329
NC061,Richtersveld Municipality,3,DC6,6968
NC062,Nama Khoi Municipality,3,DC6,26282
NC064,Kamiesberg Municipality,3,DC6,6670
NC065,Hantam Municipality,3,DC6,11386
NC066,Karoo Hoogland Municipality,3,DC6,6520
NC067,Khâi-Ma Municipality,3,DC6,6280
NC071,Ubuntu Municipality,3,DC7,9016
NC072,Umsobomvu Municipality,3,DC7,13691
NC073,Emthanjeni Municipality,3,DC7,22029
NC074,Kareeberg Municipality,3,DC7,6787
NC075,Renosterberg Municipality,3,DC7,5953
NC076,Thembelihle Municipality,3,DC7,7866
NC077,Siyathemba Municipality,3,DC7,10626
NC078,Siyancuma Municipality,3,DC7,16930
NC081,Mier Municipality,3,DC8,4427
NC082,Kai !Garib Municipality,3,DC8,26239
NC083,//Khara Hais Municipality,3,DC8,44126
NC084,!Kheis Municipality,3,DC8,8152
NC085,Tsantsabane Municipality,3,DC8,14340
NC086,Kgatelopele Municipality,3,DC8,8858
NC091,Sol Plaatjie Municipality,3,DC9,119393
NC092,Dikgatlong Municipality,3,DC9,20655
NC093,Magareng Municipality,3,DC9,11738
NC094,Phokwane Municipality,3,DC9,29771
NC451,Moshaweng Municipality,3,DC45,43946
NC452,Ga-Segonyana Municipality,3,DC45,40858
NC453,Gamagara Municipality,3,DC45,16384
NCDMA06,Namakwa DMA,3,DC6,541
NCDMA07,Pixley ka Seme DMA,3,DC7,1161
NCDMA08,Siyanda DMA,3,DC8,2424
NCDMA09,Frances Baard DMA,3,DC9,1660
NCDMA45,Kgalagadi DMA,3,DC45,3223
NW371,Moretele Municipality,3,DC37,91710
NW372,Madibeng Municipality,3,DC37,202955
NW373,Rustenburg Municipality,3,DC37,237110
NW374,Kgetlengrivier Municipality,3,DC37,19808
NW375,Moses Kotane Municipality,3,DC37,121167
NW381,Ratlou Municipality,3,DC38,45899
NW382,Tswaing Municipality,3,DC38,50048
NW383,Mafikeng Municipality,3,DC38,123625
NW384,Ditsobotla Municipality,3,DC38,70280
NW385,Ramotshere Moiloa Municipality,3,DC38,64498
NW391,Kagisano Municipality,3,DC39,44367
NW392,Naledi Municipality,3,DC39,29892
NW393,Mamusa Municipality,3,DC39,24703
NW394,Greater Taung Municipality,3,DC39,85504
NW395,Molopo Municipality,3,DC39,4472
NW396,Lekwa-Teemane Municipality,3,DC39,22188
NW401,Ventersdorp Municipality,3,DC40,19561
NW402,Potchefstroom Municipality,3,DC40,86741
NW403,Matlosana Municipality,3,DC40,184998
NW404,Maquassi Hills Municipality,3,DC40,34831
WC011,Matzikama Municipality,3,DC1,23987
WC012,Cederberg Municipality,3,DC1,19735
WC013,Bergrivier Municipality,3,DC1,22152
WC014,Saldanha Bay Municipality,3,DC1,43979
WC015,Swartland Municipality,3,DC1,39508
WC022,Witzenberg Municipality,3,DC2,39579
WC023,Drakenstein Municipality,3,DC2,112509
WC024,Stellenbosch Municipality,3,DC2,75876
WC025,Breede Valley Municipality,3,DC2,70002
WC026,Breede River/Winelands Municipality,3,DC2,37006
WC031,Theewaterskloof Municipality,3,DC3,44960
WC032,Overstrand Municipality,3,DC3,42587
WC033,Cape Agulhas Municipality,3,DC3,16173
WC034,Swellendam Municipality,3,DC3,14362
WC041,Kannaland Municipality,3,DC4,12395
WC042,Hessequa Municipality,3,DC4,25760
WC043,Mossel Bay Municipality,3,DC4,48645
WC044,George Municipality,3,DC4,80985
WC045,Oudtshoorn Municipality,3,DC4,44191
WC047,Plettenberg Bay Municipality,3,DC4,23156
WC048,Knysna Municipality,3,DC4,33482
WC051,Laingsburg Municipality,3,DC5,3710
WC052,Prince Albert Municipality,3,DC5,5870
WC053,Beaufort West Municipality,3,DC5,19546
WCDMA01,West Coast DMA,3,DC1,2279
WCDMA02,Cape Winelands DMA,3,DC2,2657
WCDMA03,Overberg DMA,3,DC3,89
WCDMA04,Eden DMA,3,DC4,6070
WCDMA05,Central Karoo DMA,3,DC5,3311
