code,ballot,winner,valid,spoilt
EC142,P,ANC,44059,704
EC143,N,ANC,15584,380
EC143,P,ANC,15159,354
EC144,N,ANC,11795,162
EC144,P,ANC,11415,172
EC151,N,ANC,79962,1341
EC151,P,ANC,76691,1193
EC152,N,ANC,41770,827
EC152,P,ANC,40379,741
EC153,N,ANC,82270,1472
EC153,P,ANC,79824,1296
EC154,N,ANC,45378,783
EC154,P,ANC,43908,707
EC155,N,ANC,79175,1306
EC155,P,ANC,77046,1245
EC156,N,ANC,61826,899
EC156,P,ANC,60244,906
EC157,N,ANC,134323,2110
EC157,P,ANC,130543,1942
EC441,N,ANC,62760,1680
EC441,P,ANC,61387,1134
EC442,N,ANC,61671,932
EC442,P,ANC,59579,919
ECDMA10,N,DA,1843,29
ECDMA10,P,ANC,1675,36
ECDMA13,N,ANC,40,2
ECDMA13,P,ANC,36,2
FS161,N,ANC,13159,201
FS161,P,ANC,12918,209
FS162,N,ANC,19410,251
FS162,P,ANC,19080,213
FS163,N,ANC,13186,252
FS163,P,ANC,12867,248
FS171,N,ANC,9211,194
FS171,P,ANC,9123,185
FS172,N,ANC,291778,3886
FS172,P,ANC,288332,3773
FS173,N,ANC,19957,347
FS173,P,ANC,19729,327
FS181,N,ANC,24663,493
FS181,P,ANC,24207,451
FS182,N,ANC,8953,247
FS182,P,ANC,8583,282
FS183,N,ANC,18530,381
FS183,P,ANC,18381,352
FS184,N,ANC,155391,2275
FS184,P,ANC,152439,2171
FS185,N,ANC,28857,545
FS185,P,ANC,28460,485
FS191,N,ANC,42476,902
FS191,P,ANC,41940,733
FS192,N,ANC,50996,934
FS192,P,ANC,50377,756
FS193,N,ANC,21385,330
FS193,P,ANC,21107,323
FS194,N,ANC,127914,2544
FS194,P,ANC,125046,2082
FS195,N,ANC,18720,394
FS195,P,ANC,18333,371
FS201,N,ANC,60102,1163
FS201,P,ANC,59384,1015
FS203,N,ANC,48636,651
FS203,P,ANC,47880,606
FS204,N,ANC,56143,909
FS204,P,ANC,53978,857
FS205,N,ANC,21836,361
FS205,P,ANC,21002,305
FSDMA19,N,DA,257,1
FSDMA19,P,ANC,156,0
GT421,N,ANC,270677,3009
GT421,P,ANC,265115,3051
GT422,N,ANC,35940,412
GT422,P,DA,34807,362
